
--- 2026-09-22 17:19:56.792798 开始记录 ---
Ilog_system_init:log init ok, buf=4096, filter=1
Iio_system_init:IO System Init OK
Iw25qxx_drv_init:W25Q init start
Iw25qxx_drv_init:W25Q init OK (ID:0xEF17)
Iads1255_init:ADS0: Initting
Iads1255_init:Init ok
Iads1255_init:ADS1: Initting
Iads1255_init:Init ok
Iadc_system_init:ADS Init OK
RE0,4984260,5176374,5037147,5148304
RE1,4983858,5176134,5037084,5148709
RE2,4984097,5175954,5034480,5148468
RE3,4983952,5176088,5034430,5147085
RE4,4984044,5175959,5034167,5145661
RE5,4984180,5175982,5034179,5146697
RE6,4983543,5176186,5032412,5147239
RE7,4984187,5176249,5033202,5145631
RE8,4983878,5176229,5032582,5144974
RE9,4984533,5176192,5032658,5142153
RE10,4983861,5176353,5032134,5144816
RE11,4984005,5175779,5031762,5145525
RE12,4984166,5176025,5032386,5144582
RE13,4984067,5175871,5031496,5143048
RE14,4984023,5176064,5031476,5144791
RE15,4984219,5176435,5032604,5144700
RE16,4983948,5175806,5033462,5144524
RE17,4984085,5175883,5032100,5145306
RE18,4984013,5176050,5033845,5144693
RE19,4984091,5175950,5034070,5146035
RE20,4984015,5176213,5033310,5146132
RE21,4983991,5176029,5035229,5147027
RE22,4984336,5175975,5036074,5148498
RE23,4984066,5175732,5035301,5148861
RE24,4984104,5176010,5036659,5150165
RE25,4984020,5176384,5036782,5149711
RE26,4984074,5176027,5037969,5148581
RE27,4984038,5176223,5038005,5150553
RE28,4984414,5175957,5037965,5150967
RE29,4984125,5176053,5038792,5150087
RE30,4983639,5175893,5037118,5150898
RE31,4983883,5175645,5038811,5150650
RE32,4984315,5176114,5039372,5150764
RE33,4983893,5176463,5038081,5153053
RE34,4984020,5176095,5039072,5151361
RE35,4983803,5175932,5038627,5152187
RE36,4983927,5175787,5037344,5152798
RE37,4983850,5176217,5037947,5150807
RE38,4984163,5175866,5039577,5151326
RE39,4983945,5176002,5038330,5151947
RE40,4983784,5175942,5036564,5151852
RE41,4983965,5175741,5038226,5150345
RE42,4984081,5175902,5038091,5149965
RE43,4983774,5175958,5037220,5150537
RE44,4983687,5175732,5037619,5150518
RE45,4983852,5175665,5038088,5149929
RE46,4983901,5175721,5037122,5149438
RE47,4983881,5176027,5035688,5148726
RE48,4983750,5175741,5035884,5148530
RE49,4984227,5175732,5035828,5147036
RE50,4983814,5176024,5036914,5147739
RE51,4984014,5175804,5035072,5148226
RE52,4983901,5175908,5035870,5145882
RE53,4984111,5175611,5033334,5145793
RE54,4983751,5175782,5034057,5144863
RE55,4983870,5176203,5033938,5147765
RE56,4983863,5175668,5034448,5145773
RE57,4983592,5176116,5031818,5145070
RE58,4984287,5176041,5031917,5145877
RE59,4983748,5175862,5033124,5145727
RE60,4983928,5176227,5032796,5146006
RE61,4983819,5175813,5034383,5144717
RE62,4983929,5176097,5033568,5146790
RE63,4984155,5176087,5033990,5147398
RE64,4984322,5176192,5032335,5146278
RE65,4984303,5176230,5033495,5147319
RE66,4984135,5175822,5035301,5146713
RE67,4983982,5176137,5034425,5147041
RE68,4983920,5176179,5035560,5148535
RE69,4984162,5176071,5036951,5148354
RE70,4984068,5176117,5036215,5149970
RE71,4984178,5175884,5037861,5148278
RE72,4984107,5176252,5036844,5150550
RE73,4984158,5176099,5036995,5150679
RE74,4984249,5176207,5039391,5151086
RE75,4984071,5176065,5037914,5151110
RE76,4984323,5176058,5038794,5151783
RE77,4984030,5176275,5039614,5152581
RE78,4984059,5176152,5039676,5153495
RE79,4983726,5176146,5039179,5151602
RE80,4983965,5175378,5040007,5151647
RE81,4983756,5175828,5037745,5152440
RE82,4983881,5176094,5040434,5151420
RE83,4983981,5175793,5039267,5151634
RE84,4984132,5175724,5040125,5151592
RE85,4984105,5175793,5038691,5151603
RE86,4984073,5176216,5037377,5149546
RE87,4984142,5176120,5036951,5149280
RE88,4984351,5176168,5036571,5149043
RE89,4984250,5176276,5037385,5148913
RE90,4983584,5176287,5037416,5148678
RE91,4983894,5176007,5035559,5148064
RE92,4983821,5175975,5035522,5147178
RE35091,4984807,5177347,5030465,5143765
RE35092,4985100,5177342,5031178,5143447
RE35093,4985016,5176925,5030249,5144116
RE35094,4985083,5177013,5032250,5143246
RE35095,4984983,5177125,5031876,5143594
RE35096,4985032,5177456,5030263,5145205
ADC_LIMIT:4985935,5178139,5042482,5154990,4983439,5175378,5029136,5141121
RE35097,4985166,5177207,5032060,5145617
RE35098,4985149,5177642,5031947,5145267
RE35099,4985239,5177401,5032317,5146357
RE35100,4985378,5177337,5033704,5146015
RE35101,4985133,5177098,5031652,5146835
RE35102,4984803,5177216,5034311,5148406
RE35103,4985281,5177386,5035034,5149529
RE35104,4985032,5177242,5035689,5149799
RE35105,4985111,5177202,5036421,5148744
RE35106,4985254,5177117,5038636,5148833
RE35107,4985287,5177180,5037797,5148920
RE35108,4985354,5177145,5036647,5150751
RE35109,4985099,5177060,5036857,5149460
RE35110,4985090,5177036,5038322,5150816
RE35111,4985274,5177271,5039226,5152361
RE35112,4985347,5177247,5038675,5151263
RE35113,4985153,5177364,5039121,5151697
ADC_LIMIT:4985935,5178139,5042482,5154990,4983439,5175378,5029136,5141121
RE35114,4984953,5177490,5038735,5151723
RE35115,4984958,5177094,5040556,5151636
RE35116,4985089,5177463,5039185,5151048
RE35117,4985354,5177239,5037469,5150700
RE35118,4985130,5177290,5039105,5150547
RE35119,4985175,5177294,5035666,5150477
RE35120,4985300,5177423,5037690,5150470
RE35121,4984874,5177170,5037101,5149130
RE35122,4985121,5177128,5035265,5148827
RE35123,4984964,5177103,5036539,5147671
RE35124,4985150,5177275,5035318,5147734
